  a   b   b/a   f(a,b)      R_3    thm1.3  conjecture
  7   1  0.14      414      638        ok  R_3 > f
  7   2  0.29      428      428        ok  HOLDS
  7   3  0.43      442      442        ok  HOLDS
  7   4  0.57      456      456        ok  HOLDS
  7   5  0.71      470      470        ok  HOLDS
  7   6  0.86      484      462  VIOLATED  R_3 < f
  7   8  1.14      512      561        ok  R_3 > f
  7   9  1.29      526      729        ok  R_3 > f
  8   1  0.12      601      889        ok  R_3 > f
  8   3  0.38      633      633        ok  HOLDS
  8   5  0.62      665      665        ok  HOLDS
  8   7  0.88      697      644  VIOLATED  R_3 < f
  8   9  1.12      729      793        ok  R_3 > f
  9   1  0.11      838     1198        ok  R_3 > f
  9   2  0.22      856      856        ok  HOLDS
  9   4  0.44      892      892        ok  HOLDS
  9   5  0.56      910      910        ok  HOLDS
  9   7  0.78      946      896  VIOLATED  R_3 < f
  9   8  0.89      964      896  VIOLATED  R_3 < f
  9  10  1.11     1000     1081        ok  R_3 > f
  9  11  1.22     1018     1331        ok  R_3 > f
 10   1  0.10     1131     1571        ok  R_3 > f
 10   3  0.30     1171     1171        ok  HOLDS
 10   7  0.70     1251     1190  VIOLATED  R_3 < f
 10   9  0.90     1291     1206  VIOLATED  R_3 < f
 10  11  1.10     1331     1431        ok  R_3 > f
 11   1  0.09     1486     2014        ok  R_3 > f
 11   2  0.18     1508     1508        ok  HOLDS
 11   3  0.27     1530     1530        ok  HOLDS
 11   4  0.36     1552     1552        ok  HOLDS
 11   5  0.45     1574     1574        ok  HOLDS
 11   6  0.55     1596     1596        ok  HOLDS
 11   7  0.64     1618     1618        ok  HOLDS
 11   8  0.73     1640     1584  VIOLATED  R_3 < f
 11   9  0.82     1662     1575  VIOLATED  R_3 < f
 11  10  0.91     1684     1580  VIOLATED  R_3 < f
 11  12  1.09     1728     1849        ok  R_3 > f
 11  13  1.18     1750     2197        ok  R_3 > f
